"Период","Контент ID","URL","Тема","Тип","Дата публикации","В поиске Яндекса","Показы Яндекс","Клики Яндекс","CTR Яндекс","Позиция Яндекс","Показы Google","Клики Google","CTR Google","Позиция Google","Показы всего","Клики всего","CTR всего","Средняя позиция","Входные визиты","Просмотры страницы","Пользователи","Просмотры публикации","Скролл 50%","Скролл 90%","Активное чтение 60с","Клики CTA","Открытия выбора мессенджера","Telegram","WhatsApp","Переходы в чат","Атрибуция Метрики","Решение"
"2026-07-07—2026-08-05","police-refusal-next-steps","/razbory/chto-delat-posle-otkaza-policii/","Что делать после отказа полиции в возбуждении уголовного дела","Статья","2026-07-28","Да","0","0","","","4","0","0.00%","8.5","4","0","0.00%","8.5","1","17","6","3","2","0","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","debt-without-receipt","/razbory/vernut-dolg-bez-raspiski/","Можно ли вернуть долг без расписки, если есть переписка и перевод","Статья","2026-07-29","Да","0","0","","","0","0","","","0","0","","","2","14","2","2","2","1","0","1","1","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","police-no-response","/razbory/politsiya-ne-otvechaet-na-zayavlenie/","Полиция не отвечает на заявление: как узнать решение и обжаловать бездействие","Статья","2026-08-01","Да","0","0","","","2","0","0.00%","6.5","2","0","0.00%","6.5","0","2","2","2","2","1","0","2","2","0","1","1","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","warranty-repair-over-45-days","/razbory/garantiynyy-remont-avtomobilya-bolshe-45-dney/","Гарантийный ремонт автомобиля превысил 45 дней: что требовать от дилера","Статья","2026-08-01","Да","0","0","","","0","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","unofficial-work-unpaid-wages","/razbory/rabotal-bez-dogovora-ne-vyplatili-zarplatu/","Работал без трудового договора и не выплатили зарплату: как доказать долг","Статья","2026-08-02","Да","0","0","","","0","0","","","0","0","","","0","2","1","2","1","1","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","unpaid-services-without-contract","/razbory/zakazchik-ne-oplatil-rabotu-bez-dogovora/","Заказчик не оплатил выполненную работу, а договора нет: что делать","Статья","2026-08-03","Нет","0","0","","","0","0","","","0","0","","","1","2","1","2","1","1","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","Плохо покрасили машину в автосервисе: что делать до переделки и как вернуть деньги","Статья","2026-08-03","Нет","0","0","","","0","0","","","0","0","","","1","2","1","2","1","0","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","judicial-order-after-writeoff","/razbory/spisali-dengi-po-sudebnomu-prikazu/","Списали деньги по судебному приказу, о котором вы не знали: как отменить приказ и вернуть взысканное","Статья","2026-08-03","Нет","0","0","","","0","0","","","0","0","","","0","2","1","2","2","2","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","unshipped-goods-after-invoice","/razbory/tovar-ne-postavlen-posle-oplaty-scheta/","Оплатили счёт, а товар не поставили: как ИП вернуть деньги без подписанного договора","Статья","2026-08-03","Нет","0","0","","","0","0","","","0","0","","","0","1","1","1","1","0","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","debt-receipt-order-or-claim","/razbory/dolg-po-raspiske-prikaz-ili-isk/","Долг по расписке: судебный приказ или сразу иск","Статья","2026-07-29","Да","0","0","","","0","0","","","0","0","","","0","1","1","1","1","0","0","0","0","0","0","0","viewed_page_url; цели: event_url_action_goal","Наблюдение: выборка недостаточна, страницу не менять."
